name;Crowd_limit;Nazev_okruhu;Time_duration;Tours_content
Litomyšl;max. 20 osob;Zámek za Thurn Taxisů (výběrový okruh);délka 50 minut;Prohlídka prvního patra severního a východního křídla zámku s hostinskými a soukromými pokoji knížete Alberta Marii Thurn-Taxis a jeho choti kněžny Margarety Rakouské (rodinná hala, orientální salon, ložnice knížete, pracovna knížete, dámský salon, kabinet kněžny, ložnice kněžny). Tento knížecí pár vlastnil zámek mezi lety 1885-1945. Hostinské apartmá (malá jídelna, ložnice císaře, pracovna císaře, pokoj komorníka, předpokoj doprovodu) představí pobyt samotného císaře Františka Josefa I. v září 1889 spolu s arcivévodou Františkem Ferdinandem d´Este. Matka majitele zámku princezna Helena Bavorská (Nené) se měla stát císařovou manželkou. V rakouském Bad Ischlu si však panovník vybral za nevěstu její mladší sestru Alžbětu (Sissi), a tak se Helena stala aspoň císařovou švagrovou. Interiéry prošly v roce 2021 velkou změnou, díky níž na základě historických událostí můžeme poprvé v historii zámku důstojně představit poslední majitele zámku a držitele monopolu pošty i dopravy v monarchii - knížecí rodinu Thurn-Taxisů, kteří zámek zakoupili v dražbě od zadlužených Valdštejnů roku 1855. Interiéry se honosí dobovým zařízením s využitím rodových předmětů Thurn-Taxisů (nábytek, obrazy, sklo, porcelán) a výmalbou stěn od malíře Dominika Dvořáka. Prohlídka vrcholí návštěvou domácí kaple sv. Moniky a sv. Michaela z 18. století.
Náchod;max. 20 osob;Zámek za Schaumburgů (Výběrový okruh);délka 50 minut;Soukromé interiéry druhého patra věnované příslušníkům německé knížecí rodiny Schaumburg-Lippe.
Náchod;max. 20 osob;Zámek za Piccolominiů (Základní okruh);délka 50 minut;Reprezentační prostory prvního patra připomínající období 17. a 18. století, kdy Náchod vlastnil italský knížecí rod Piccolomini.
Zákupy;max. 25 osob;Zámek za Františka Josefa I.;délka 50 minut;Prohlídka vede místnostmi v severním a západním křídle druhého patra, které mají dochovanou původní výzdobu z 2. poloviny 19. století a jsou bohatě zařízeny nábytkem, obrazy, porcelánem atd. Výklad průvodce je zaměřen na období, kdy zákupský zámek patřil císaři Františku Josefovi I., který jej sám navštěvoval a zároveň i propůjčoval k letním pobytům svým blízkým příbuzným (např. svému synovi korunnímu princi Rudolfovi či své švagrové arcivévodkyni Marii Tereze z Braganzy). Součástí této trasy je i zámecká kaple, ve které se v roce 1900 konala svatba následníka trůnu Františka Ferdinanda d´Este a hraběnky Žofie Chotkové.
Zákupy;max. 25 osob;Zámek za Ferdinanda Dobrotivého;délka 55 minut;Prohlídka vede místnostmi v jižním a východním křídle druhého patra, které mají dochovanou původní výzdobu z 2. poloviny 19. století a jsou bohatě zařízeny nábytkem, obrazy, porcelánem atd. Výklad průvodce je zaměřen na období, kdy zákupský zámek patřil císaři Ferdinandovi Dobrotivému, který jej spolu se svou manželkou císařovnou Marií Annou Karolínou používal jako své letní sídlo. K vidění je např. zámecká jídelna, apartmá císaře a císařovny či císařský výtah z roku 1870. Součástí trasy je i hostinské apartmá, kde je připomenut další významný majitel zámku - Napoleonův syn Orlík, vévoda Zákupský.
Ratibořice;max. 25 osob;Zámek Ratibořice pro školy;délka 50 minut;Prohlídky zámku určené pro organizované skupiny ze základních a středních škol v doprovodu pedagogů.
Ratibořice;max. 25 osob;Zámek Ratibořice;délka 50 minut;Prohlídka celého zámku, ve které je zahrnut okruh „Doba vévodkyně Zaháňské“ a interiéry v přízemí z doby posledních soukromých majitelů na přelomu 19. a 20. století. Místnosti jsou zařízeny nábytkem z 19. století, který doplňují podobizny příslušníků a příbuzných knížecí rodiny Schaumburg - Lippe a dánské královské rodiny, kolekce dánského porcelánu, anglické kameniny, grafických listů a soubor osobních předmětů příslušníků rodiny.
Velké Březno;max. 25 osob;Zámek na penzi (Výběrový okruh I);délka 45 minut;Při této prohlídce na Vás čekají všechny hlavní reprezentační místnosti prvního patra zámku a dozvíte se to hlavní ze zámecké historie. Prohlídky začínají v každou celou hodinu, konečná hodina je časem zahájení poslední prohlídky. Tento okruh je zahrnut do prohlídky Venkovské sídlo nebo je k dispozici samostatně, není tedy třeba si na každý okruh kupovat vstupenku zvlášť, stačí si vybrat.
Plasy;max. 75 osob;Zámek Metternichů (vedlejší okruh);délka 40 minut;Vedlejší prohlídkový okruh zavede návštěvníky do bývalé klášterní prelatury, kterou na zámek adaptoval ve 30. letech 19. století kníže Metternich poté, co odkoupil plaské panství. Prohlídkový okruh nabízí nevšední zážitek - samostatně si bez průvodce prohlédnout a zažít autentický interiér. Zpřístupněná je také zahrada s barokní bazénou a místem pro odpočinek.
Sychrov;max. 30 osob;Zámek knížete Kamila (základní okruh);délka 50 minut;Prohlídka interiérů letního sídla šlechtického rodu Rohanů z druhé poloviny 19. století.
Náchod;max. 20 osob;Zámek hravě (Zábavný okruh);délka 30 minut;Speciální prohlídky pro dětské návštěvníky v expozici Na dvoře vévodském.
Jánský Vrch;max. 15 osob;Zámek dětem;délka 45 minut;Speciální dětský okruh pro rodiny s dětmi od 4 do 8 let. Zámkem provází průvodce v kostýmu a formou vhodnou pro děti seznámí nejmenší návštěvníky s historií a exponáty zámku. Děti během prohlídky plní různé úkoly a na závěr je čeká malá odměna. Malým princeznám a princům půjčíme na prohlídku zámku krásné kostýmy.
Sychrov;max. 50 osob;Zámek dětem;délka 25 minut;Prohlídka zámku pro mateřské školy a 1. stupeň ZŠ
Červené Poříčí;max. 30 osob;Zámek a předzámčí - velká prohlídka;délka 40 minut;Vstup do areálu Státního zámku Červené Poříčí spojený s velkou prohlídkou zámku a předzámčí. První část prohlídky vedená průvodcem seznamuje s historickým a stavebním vývojem zámeckého areálu jako sídelního místa a s regionálními a mezinárodními souvislostmi. Průvodce poukazuje se na současný stav a přibližuje představu života na panském sídle od 17. do 20. století. Procházené vnitřní prostory hlavní zámecké budovy nejsou vybaveny mobiliářem. Zámecký areál je prezentován při stavební obnově a před restaurováním místností v zámecké budově zdevastovaných nevhodnými zásahy ve 20. století. Druhá část velké prohlídky není vedená průvodce a nabízí volný vstup do budovy předzámčí na výstavní expozici DĚTI ZE ZLATÉ KOLÉBKY ANEB RANÉ DĚTSTVÍ VE ŠLECHTICKÝCH RODINÁCH V „DLOUHÉM“ 19. STOLETÍ, do nově zrekonstruované části v roce 2022. Hlavní linkou výstavy je spojení Červeného Poříčí s rodem Habsburků, konkrétně s osobou císaře Františka I. a jeho vnuka Napoleona II. Orlíka, syna Napoleona I. Bonaparte a Marie Luisy Habsbursko-Lotrinské.
Manětín;max. 30 osob;Zámek (základní okruh);délka 45 minut;Zámek Manětín nabízí příjemný prohlídkový okruh odhalující nejednu zajímavost z dějin manětínského panství. K vidění jsou zámecké komnaty včetně krásně vymalované vstupní haly a hlavního sálu i unikátní sbírka portrétů služebnictva, která z Manětína činí skutečnou raritu. Vyprávění návštěvníky vtáhne zejména do dob zámku za života hraběcí rodiny Lažanských z Bukové a nejproslulejší tamní hraběnky Marie Gabriely.
Buchlovice;max. 25 osob;Zámek (základní okruh);délka 50 minut;Interiéry barokního zámku, reprezentativního sídla a křižovatky diplomatů Evropy 19. století.
Kozel;max. 25 osob;Zámek (základní okruh);délka 45 minut;Interiérová expozice evokující atmosféru a vývoj bydlení od rokoka po napoleonský empír.
Horšovský Týn;max. 23 osob;Zámek (zák. okruh);délka 50 minut;Zámecké bydlení od 16. století do počátku 20. století, salony, taneční sál, knihovna. Celkem je na tomto prohlídkovém okruhu 68 schodů. Prohlídka s průvodcem.
Kladruby;max. 25 osob;Zámek;délka 45 minut;Druhý prohlídkový okruh představuje návštěvníkům evropsky proslulý rod Windischgrätzů v místnostech věnovaných historii rodu, Alfrédovi I., jeho ženě Eleonoře a hospodářskému využití bývalého klášterního panství. Součástí okruhu je i původní interiér knížecí knihovny z 1. poloviny 20. století.
Hrádek u Nechanic;max. 10 osob;Zámeckými sklepy na věž;délka 40 minut;Prohlídky zámeckých sklepů s ukázkou technických vymožeností, jakými jsou kotle z 19. století nebo elektrorozvodna z roku 1914 s následným výstupem na dominantu zámku - Hodinovou věž. Okruh se znovu otevře v červenci 2025.
Valtice;max. 50 osob;Zámecký sklep - Vinné sklepy Valtice, a. s.;délka 30 minut;Zámecký sklep z roku 1430 patří mezi nejstarší a největší vinné sklepy v České republice. Po staletí zde zrají v obrovských dubových sudech ta nejlepší vína od nejstaršího vinařství Lednicko-valtického areálu - CHÂTEAU VALTICE - Vinné sklepy Valtice, a. s.
Krásný Dvůr;max. 60 osob;Zámecký park, komentovaná prohlídka (základní okruh);délka 120 minut;Připravte se na cestu časem a nechte se okouzlit malebnou scenérií, která se rozkládá v srdci tohoto historického skvostu. Rozsáhlý přírodně krajinářský park v Krásném Dvoře, první svého druhu v Čechách byl vybudován v letech 1783–1793 Janem Rudolfem Černínem. V parku na vás čeká řada romantických staveb, každá s vlastním jedinečným příběhem a kouzlem. Ať už jste vášniví fotografové, rodiny s dětmi, nebo jen hledáte klidné místo pro relaxaci, Krásný Dvůr vás zaručeně nadchne. Komentovaná prohlídka parku není pouze obyčejnou procházkou – je to zážitek, který oživí naši zkušení průvodci svými poutavými komentáři. Dozvíte se o historii jednotlivých staveb, o zajímavostech, které park skrývá, a o významných osobnostech, které jsou s ním spojeny. Nezapomeňte si pohodlné boty a připravte se na dobrodružství v nádherném přírodním prostředí, které osloví každého návštěvníka. Těšíme se na vaši návštěvu a věříme, že od nás odjedete s pocitem, že jste právě prožili něco opravdu výjimečného.
Velké Březno;max. 50 osob;Zámecký park s průvodcem (Výběrový okruh II);délka 60 minut;Na prohlídku parku máte několik možností. Park si můžete projít sami, jména jednotlivých stromů a keřů najdete na informační ceduli, umístěné vpravo od vstupu do zámku, nebo na naší internetové stránce, kde ke jménům najdete i krátké povídání. Nabízíme Vám i prohlídku parku s odborným výkladem určenou pouze pro skupiny od 15 osob, na kterou je třeba se předem objednat.
Ploskovice;max. 30 osob;Zámecký park – prohlídka s botanikem;délka 120 minut;Prohlídka parku s komentářem botanika.
Kozel;neomezeně;Zámecký areál;délka 0 minut;Zámecký park je otevřen celoročně, ovšem v sezoně duben až říjen je park zpoplatněn dle platného ceníku. Několikrát za sezónu probíhají komentované prohlídky parku. Termíny konání budou uveřejněny v sekci akce.
Hradec nad Moravicí;neomezeně;Zámecký areál;délka 60 minut;Zámecký areál je zpřístupněn v režimu otevírací doby, zahrnuje zámecký park se všemi vyhlídkami, nádvoří Bílého zámku a vstupní historickou expozici. Jednotné vstupné 60 Kč.
Březnice;max. 33 osob;Zámecké zbrojnice;délka 40 minut;Zámecké zbrojnice uchovávají většinu typů zbraní od 15. do 19. století, a to od chladných po palné a od útočných po obranné.
Rájec nad Svitavou;max. 30 osob;Zámecké skleníky (mimořádný okruh);délka 20 minut;"Samostatná prohlídka zámeckých skleníků v Rájci nad Svitavou v době květu kamélií - v únoru a v březnu k.r.. Mimo období kvetení kaméliových keřů jsou skleníky pro veřejnost uzavřeny. V únoru jsou skleníků přístupny pouze od středy do soboty; v pondělí, v úterý a v neděli jsou skleníky uzavřeny!"
Duchcov;max. 15 osob;Zámecké sbírky;délka 30 minut;Duben (víkendy, Velikonoce): 11:00, 13:00, 15:00. Návštěvník si prohlédne hudební nástroje, kuriozity, sbírku antických vykopávek, porcelánový kabinet, lovecké vybavení a zbrojnici.
Telč;max. 20 osob;Zámecké podzemí;délka 40 minut;Zámecké podzemí nabízí část starého gotického hradu, které sloužilo jako provozní a bezpečnostní prostory.
Nebílovy;neomezeně;Zámecké nádvoří, kaple, galerie a zahrada;délka 50 minut;Volná prohlídka zámeckého nádvoří, zahrady za zadním křídlem zámku, návštěvy kaple sv. Antonína a právě probíhající výstavy v zámecké galerii.
Telč;neomezeně;Zámecké nádvoří a zahrada;délka 50 minut;Samostatná prohlídka zámeckého nádvoří a zámecké zahrady bez průvodce.
Telč;neomezeně;Zámecké muzeum;délka 55 minut;Prostory zámeckého muzea, vzniklé v místě bývalých hostinských pokojů, dávají svým návštěvníkům možnost poznat cenné předměty, které byly doposud uložené v zámeckých depozitářích. Svou povahou jsou to předměty často ojedinělé. Mimo funerální výbavu Zachariáše z Hradce a dalších originálních renesančních artefaktů, je možné obdivovat přírodovědnou sbírku posledních majitelů, rozsáhlý servis vyrobený ze stříbra či předměty spjaté s dvorní kariérou posledních majitelů zámku, jimž vévodí kolekce řádů a vyznamenání. Prohlídku uzavírá velkolepý pohled do zámecké kaple Všech svatých, snad nejcennějšího prostoru v areálu zámku.
Stekník;max. 20 osob;Zámecké interiéry rozšířené;délka 60 minut;Výběrový prohlídkový okruh vás provede interiéry zámku, které teprve na svou obnovu čekají. Jedná se o prohlídkový okruh, s omezenou otevírací dobou, o sobotách a státních svátcích. Prohlídka trvá 60 minut. Uvedený konec otevírací doby je časem ukončení poslední prohlídky.
Kynžvart;max. 25 osob;Zámecké interiéry Metternichů (základní okruh);délka 45 minut;Prohlídka skvostných zámeckých interiérů a knížecích salónů rodiny Metternichů, při níž můžete spatřit celou řadu nádherných a historicky významných uměleckých památek včetně evropsky unikátní sbírky zlacených nástolních souprav Thomire.
Valeč;neomezeně;Zámecké interiéry + lapidárium soch M. B. Brauna;délka 70 minut;Kombinovaný návštěvnický okruh, kdy v prohlídce bez průvodce svým tempem procházíte zámek a v objektu bývalé kovárny navštívíte lapidárium, kde se skrývá jeden z nejrozsáhlejších souborů soch z dílny významného barokního sochaře Matyáše Bernarda Brauna. Tváří v tvář se zde setkáte s 28 sochami a sousošími. Tyto originály původně zahradních plastik jsou zde nabídnuty vašemu pohledu a prožitku. Na přípravě lapidária se podíleli studenti a učitelé ze Západočeské univerzity, Fakulty designu a umění Ladislava Sutnara. Sochy prezentujeme pomocí scénických světel a zvuku s možností nastavení různých atmosfér. Neobvyklá prohlídka zámeckých interiérů vás provede vrstevnatou historií zámku. Zámek sloužil od 50. let 20. století jako dětský domov a v roce 1976 vyhořel. Od té doby vstává z popela. Uvidíte honosný zrekonstruovaný Braunův sál, ale i surové podoby nedokončených zámeckých interiérů. K vidění je stálá audiovizuální expozice zachráněných gotických fresek ze zničeného Doupova. Zámek je každou sezónu oživován výstavami. V pátek a sobotu máme otevřeno až do 23:00, k nočním prohlídkám zapůjčujeme lucerny.
Mnichovo Hradiště;max. 25 osob;Zámecké interiéry (základní);délka 50 minut;Barokní zámek a bohatě zdobené interiéry. V roce 1833 se zde odehrála schůzka Svaté aliance. Po zavraždění Albrechta z Valdštejna zůstalo Mnichovo Hradiště ve vlastnictví rodiny Valdštejnů až do roku 1945. Valdštejnové vlastnili do roku 1923 také zámek v Duchcově a po jeho prodeji státu si ponechali knihovnu, kterou můžete obdivovat dodnes. Rezervace prohlídek je povinná pro skupiny od 15 osob. V dubnu, květnu, září a říjnu je možné rezervovat prohlídky od středy do neděle, v červnu, červenci a srpnu od úterý do neděle.
Nebílovy;max. 25 osob;Zámecké interiéry (základní okruhy);délka 50 minut;Prohlídková trasa s průvodcem vede obnovenými a historickým mobiliářem vybavenými pokoji přední i zadní budovy zámku. Cílem výkladu je seznámení návštěvníka s historií objektu, jeho významem a s postupem obnovy zámku. Prohlídka vrcholí v nově restaurovaném tanečním sále.
Krásný Dvůr;max. 25 osob;Zámecké interiéry (základní okruh);délka 45 minut;Základní zámecký okruh Krásného Dvora vám umožní přenést se z vašeho každodenního života do světa, kde se historie prolíná s přítomností. Při prohlídce osmnácti místností, každé vybavené s ohledem na historickou přesnost a estetickou hodnotu, se dostanete do kontaktu s bohatstvím 18. a 19. století. V našem zámku se otevřou dveře do doby, kdy byl každý předmět vytvořen s láskou a každý prostor byl navržen s myšlenkou na krásu a funkčnost. Přeskočte most z vašeho současného života do prostředí, které vás obklopí historií a uměním, a nechte se pohltit atmosférou, která ožívá s každým vaším krokem. Zámecké interiéry Krásného Dvora jsou vaším mostem k objevování krásy a elegance minulých století.
Uherčice;max. 20 osob;Zámecké interiéry (základní okruh);délka 50 minut;Prohlídkový okruh vás zavede do nedávno obnovených interiérů východního a severního křídla zámku. Uvidíte bohatě zařízené společenské, soukromé a reprezentační prostory, které téměř 200 let využívali příslušnící italského knížecího rodu Collalto e San Salvatore.
Ploskovice;max. 25 osob;Zámecké interiéry (základní okruh);délka 50 minut;Prohlídková trasa 11 místností ve stylu 2. poloviny 19. století z dob rakouského císaře a posledního českého korunovaného krále Ferdinanda V. Habsburského.
Jezeří;max. 25 osob;Zámecké interiéry (základní okruh);délka 60 minut;KOMENTOVANÁ PROHLÍDKA S PRŮVODCEM - Jezeřské zámecké interiéry Vás jistě překvapí. Jsou v mnohém odlišné od běžně známých zámeckých instalací. Vzhledem k dlouhodobé devastaci objektu se nejedná o pokoje přeplněné sbírkami vzácného porcelánu, obrazů a intarzovaného nábytku, ale setkáte se s prostory nedotčenými zásahy restaurátorů, mnohdy až v syrové původnosti běhu času.
Březnice;max. 33 osob;Zámecké interiéry (základní okruh I.);délka 50 minut;Interiéry přibližují historii jednotlivých šlechtických rodů a stavebně-umělecký vývoj historických slohů od gotiky přes renesanci, baroko, rokoko, klasicismus, empír až po biedermeier.
Březnice;max. 33 osob;Zámecké interiéry – rozšířené;délka 65 minut;Zámecké interiéry rozšířené o autentické prostory hodovního sálu a Lokšanské knihovny, nejstaršího zámeckého knihovního sálu v Čechách z roku 1558.
Bečov nad Teplou;max. 25 osob;Zámecké interiéry;délka 55 minut;Prohlídkový okruh prochází všemi podlažími barokního zámku. Velkoformátový model hradu a zámku Bečov pomůže v orientaci a zároveň usnadňuje pochopení stavebního vývoje tohoto rozsáhlého areálu. Výklad je zaměřen zejména na období držení bečovského panství posledními majiteli – rodinou Beaufort-Spontin. Trasa prochází jednotlivými salony, ale nejkrásnější jsou autentické prostory knihovny a kaple.
Žleby;max. 15 osob;Zámecké divadlo (výběrový okruh);délka 40 minut;ZÁBAVA A VOLNÝ ČAS NA ZÁMKU: zámecké divadlo, zákulisí, šatny a příslušenství, sbírka historických divadelních a karuselových kostýmů, svět malých aristokratů (výchova, vzdělávání a hry).
Český Krumlov;max. 20 osob;Zámecké barokní divadlo;délka 45 minut;Barokní divadlo na zámku v Českém Krumlově reprezentuje vyspělou barokní scénu. Jde o jedno z nejkomplexněji zachovaných barokních divadel na světě s původní divadelní budovou, orchestřištěm, jevištěm a mašinérií, stovkami divadelních kostýmů a kostýmních doplňků, dekorací a scénických doplňků, osvětlovacích těles, libret atp. Barokní divadlo se i díky citlivé obnově stalo ojedinělou památkou světového významu.
Lysice;neomezeně;Zámecká zahrada (bez průvodce);délka 0 minut;Prohlídka zámecké zahrady s unikátní sloupovou kolonádou s krytou pergolou, založené při zámku již v období renesance. Poslední úpravy zahrady proběhly v 19. století. V rámci prohlídky je možné obdivovat ojediněle technicky řešenou fíkovnu s posuvnou střechou v areálu zámeckého zahradnictví. Prostory parku a zahradnictví prošly celkovou památkovou obnovou mezi lety 2021 až 2023. Osobám, které mají potíže s chůzí nebo stabilitou doporučujeme návštěvu s doprovodem. Historická zahrada je terasovitá se schodišti, ta nejsou vybavena zábradlím ani madly. V případě potřeby kontaktujte dopředu správu zámku, která Vám po dohodě doprovod zajistí.
Slatiňany;neomezeně;Zámecká zahrada;délka 0 minut;Zahrnuje nádvoří a zámeckou zahradu o rozloze 9 hektarů se sbírkou cizokrajných dřevin, květinovými záhony, romantickým jezírkem, dvěma altány, kapličkou, dětským hřištěm a roubenými domečky k výuce šlechtických ratolestí.
Kratochvíle;neomezeně;Zámecká zahrada;délka 20 minut;Vstup do zámecké zahrady a následná procházka probíhá samostatně, bez průvodce.
Stekník;max. 150 osob;Zámecká zahrada;délka 20 minut;"Prohlídka zámecké zahrady probíhá samostatně, pomocí informačních cedulí viz. v sekci ""Informační systém v zahradách"". Jedná se o styl italské barokní zahrady, jehož základem je ústřední osa, tvořená hlavní cestou, směřovanou na střed zahradního průčelí. Zahrada položená na této ose je tvořena 5 vyrovnávacími terasami, které jsou zpevněné zídkami se schodišti. Ukončena je spodní plochou s bazénem. Pouze terasovité zahrady na západním svahu jsou osově souměrné, na rozdíl od jednoduší verze zahrad jižního svahu. Zajímavostí zahrady je stavba lehkého vojenského opevnění tzv. řopíku, který je však pro veřejnost dosud uzavřený."
Český Krumlov;neomezeně;Zámecká zahrada;délka 0 minut;Nejrozsáhlejší částí zámeckého areálu je barokní zahrada založená ve 2. polovině 17. století. Rozkládá se na návrší a svahu přiléhajícím z jihozápadní strany k zástavbě pátého zámeckého nádvoří. Skládá se ze čtyř částí: terasy tzv. Štěpnice, terasy tzv. Letní jízdárny lemované kulisami vzrostlých lip, terasy tzv. Dolního parteru s náznakově rekonstruovanou rokokovou úpravou a kaskádovou fontánou a terasy tzv. Horní zahrady s volnou zahradní úpravou, hudebním pavilonem, rokokovým letohrádkem Bellarie a čtvercovým zámeckým rybníkem.
